cat_id,store_id,lead_bucket,is_event_week,rows,actual_sum,forecast_sum,stockout_proxy_rate,raw_ratio,shrinkage_weight,global_ratio,correction_factor
HOBBIES,WI_3,57-98,1,244,5362,4380.711498747407,0.02459016393442623,1.223950961064669,0.7530864197530864,1.1773084429661982,1.2124342899292442
HOBBIES,WI_1,57-98,1,241,7806,6834.9172236644545,0.008298755186721992,1.1420559589244101,0.7507788161993769,1.1773084429661982,1.1508416247292172
HOBBIES,WI_2,57-98,1,240,4370,3746.4530447362545,0.004166666666666667,1.1663921996673425,0.75,1.1773084429661982,1.1691212604920564
HOBBIES,TX_1,57-98,1,229,5900,4143.968984135496,0.021834061135371178,1.4236535961030248,0.7411003236245954,1.1773084429661982,1.359874915679251
HOBBIES,TX_2,57-98,1,229,5463,4950.337517329019,0.026200873362445413,1.1035402011833633,0.7411003236245954,1.1773084429661982,1.1226387751077218
HOBBIES,TX_3,57-98,1,225,6674,5280.710159909141,0.017777777777777778,1.2637952098671819,0.7377049180327869,1.1773084429661982,1.2411101562538092
HOBBIES,CA_1,57-98,1,209,9681,8437.322319875875,0.08133971291866028,1.1473844720525466,0.7231833910034602,1.1773084429661982,1.1556679242085748
FOODS,CA_1,29-56,1,206,23543,21296.259888440978,0.07766990291262135,1.1054943275955624,0.7202797202797203,1.1773084429661982,1.125582192034901
HOUSEHOLD,CA_2,57-98,1,202,7135,6389.21680699568,0.0,1.116707025055531,0.7163120567375887,1.1773084429661982,1.1338989166613942
HOUSEHOLD,CA_3,57-98,1,198,14996,13753.66186823386,0.0,1.0903212411666257,0.7122302158273381,1.1773084429661982,1.1153535294542725
HOBBIES,CA_4,57-98,1,198,8061,6394.872927341514,0.0,1.260500340076491,0.7122302158273381,1.1773084429661982,1.2365602258001478
HOUSEHOLD,TX_3,57-98,1,195,8681,7979.421057367294,0.020512820512820513,1.087912522107468,0.7090909090909091,1.1773084429661982,1.1139186081754622
HOBBIES,CA_2,57-98,1,192,6263,4937.4789184941155,0.010416666666666666,1.2684067510224533,0.7058823529411765,1.1773084429661982,1.2416131310059078
HOBBIES,CA_3,57-98,1,192,11421,8982.828889986102,0.020833333333333332,1.2713955419088208,0.7058823529411765,1.1773084429661982,1.2437228657492259
HOUSEHOLD,CA_1,57-98,1,189,8677,7388.800924671858,0.0,1.1743212149365638,0.7026022304832714,1.1773084429661982,1.175209609889615
FOODS,CA_4,29-56,1,186,9021,8256.59708160153,0.10215053763440861,1.0925696556570446,0.6992481203007519,1.1773084429661982,1.1180550052237073
HOUSEHOLD,TX_1,57-98,1,183,8517,7410.654054153645,0.0273224043715847,1.149271125954177,0.6958174904942965,1.1773084429661982,1.1577995874027005
FOODS,CA_2,29-56,1,182,17717,13485.611040933114,0.11538461538461539,1.313747385924027,0.6946564885496184,1.1773084429661982,1.2720866399827053
HOUSEHOLD,CA_4,57-98,1,179,2889,2580.321362160663,0.0,1.119581638444646,0.6911196911196911,1.1773084429661982,1.1374123116559363
FOODS,TX_1,29-56,1,179,16205,14325.678806082286,0.0893854748603352,1.1311763332838776,0.6911196911196911,1.1773084429661982,1.1454256335718531
FOODS,CA_3,29-56,1,178,26993,25146.354180783113,0.06741573033707865,1.0734330063489559,0.689922480620155,1.1773084429661982,1.1056424440597288
FOODS,TX_3,29-56,1,172,24145,20323.699084638472,0.0755813953488372,1.1880126686967627,0.6825396825396826,1.1773084429661982,1.1846145017981708
HOBBIES,WI_3,57-98,0,170,3700,3027.0803881647257,0.023529411764705882,1.2222264687771782,0.68,1.1773084429661982,1.2078527005176647
HOBBIES,WI_2,57-98,0,167,3322,2572.7898660496894,0.005988023952095809,1.2910921920367242,0.6761133603238867,1.1773084429661982,1.2542391559005215
HOBBIES,WI_1,57-98,0,166,5730,4718.181832510904,0.0,1.2144054209817858,0.6747967479674797,1.1773084429661982,1.2023413630905377
FOODS,TX_2,29-56,1,157,23322,19791.098470360666,0.09554140127388536,1.1783995534847898,0.6624472573839663,1.1773084429661982,1.178031246136742
HOUSEHOLD,CA_3,57-98,0,155,12429,11504.859442428778,0.012903225806451613,1.0803191245465227,0.6595744680851063,1.1773084429661982,1.1133367648596038
