feature_family,importance
demand_lag,0.2639020929995345
rolling_mean,0.19088047751365853
dept_id,0.08367264542648897
availability_risk,0.07370538351193376
rolling_distribution,0.07121079505660652
cat_id,0.06619810975998909
lead_bucket,0.04708339566260171
store_id,0.045927306101799154
lead_time,0.04076911802139378
recent_zero_week_rate_8,0.04048773490211162
price,0.02411061787790224
demand_trend_4_vs_13,0.016588207971124213
state_id,0.008673435582061673
sell_price,0.0055263044847201435
snap,0.00507457880357252
calendar_event,0.0049594045012568274
week_of_year,0.0037341629802625136
month,0.0036321897426030286
quarter,0.0034126949564950793
is_major_event_week,0.0004513441438840269
