feature,importance,feature_family
demand_lag_1,0.47679535,demand_lag
rolling_mean_4,0.068153925,rolling_mean
rolling_mean_8,0.054748207,rolling_mean
demand_lag_52,0.028013134,demand_lag
demand_lag_2,0.02320729,demand_lag
stockout_risk_lag_1,0.021737723,availability_risk
rolling_mean_13,0.021530714,rolling_mean
store_id_WI_2,0.018076278,store_id
event_intensity,0.014964905,calendar_event
rolling_mean_26,0.013409544,rolling_mean
recent_zero_week_rate_8,0.013087066,recent_zero_week_rate_8
price_vs_series_median,0.011375835,price
cat_id_HOBBIES,0.0112274,cat_id
cat_id_FOODS,0.01100111,cat_id
event_days_next_2w,0.010763275,calendar_event
dept_id_HOBBIES_1,0.010581793,dept_id
availability_risk_score,0.009826211,availability_risk
major_event_next_2w,0.009236416,calendar_event
snap_intensity,0.008659349,snap
price_lag_1,0.008285842,price
snap_days,0.007861966,snap
demand_lag_8,0.0077972156,demand_lag
week_of_year,0.0070456746,week_of_year
price_observed,0.006916363,price
dept_id_FOODS_3,0.006612322,dept_id
is_snap_heavy_week,0.0064377408,snap
state_id_TX,0.0063215825,state_id
rolling_max_13,0.0060060816,rolling_distribution
sell_price,0.0056666504,sell_price
demand_lag_4,0.005606701,demand_lag
